collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-28-US-MTV-1,Pixel5,1303683562430,37.3958422483,-122.1029571933,58.31,252.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683563430,37.3958422483,-122.1029571928,58.31,253.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683564430,37.3958422483,-122.1029571928,58.31,254.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683565430,37.3958422483,-122.1029571933,58.31,255.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683566430,37.3958422472,-122.1029571933,58.31,256.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683567430,37.3958422483,-122.1029571933,58.31,257.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683568430,37.3958422483,-122.1029571933,58.31,258.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683569430,37.3958422483,-122.1029571933,58.31,259.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683570430,37.3958422483,-122.1029571933,58.31,260.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683571430,37.3958422483,-122.1029571933,58.31,261.43,1.54,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683572430,37.3958422483,-122.1029571933,58.31,262.43,1.33,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683573430,37.3958422483,-122.1029571933,58.31,263.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683574430,37.3958422478,-122.1029571933,58.31,264.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683575430,37.3958422483,-122.1029571933,58.31,265.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683576430,37.3958422483,-122.1029571933,58.31,266.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683577430,37.3958422472,-122.1029571933,58.31,267.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683578430,37.3958422483,-122.1029571933,58.31,268.43,2.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683579430,37.3958422483,-122.1029571933,58.31,269.43,2.23,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683580430,37.3958422483,-122.1029571933,58.31,270.43,2.40,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683581430,37.3958422483,-122.1029571933,58.31,271.43,2.40,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683582430,37.3958422467,-122.1029571933,58.31,272.43,1.87,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683583430,37.3958422483,-122.1029571933,58.31,273.43,1.10,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683584430,37.3958422483,-122.1029571933,58.31,274.43,1.07,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683585430,37.3958422478,-122.1029571933,58.31,275.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683586430,37.3958422472,-122.1029571933,58.31,276.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683587430,37.3958422478,-122.1029571933,58.31,277.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683588430,37.3958422483,-122.1029571933,58.31,278.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683589430,37.3958422483,-122.1029571933,58.31,279.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683590430,37.3958422483,-122.1029571917,58.31,280.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683591430,37.3958422483,-122.1029571883,58.31,281.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683592430,37.3958422522,-122.1029572073,58.30,282.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683593430,37.3958422717,-122.1029573583,58.27,283.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683594430,37.3958422717,-122.1029573583,58.27,284.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683595430,37.3958422717,-122.1029573555,58.27,285.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683596430,37.3958422717,-122.1029573838,58.27,286.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683597430,37.3958422722,-122.1029574158,58.27,287.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683598430,37.3958422905,-122.1029574925,58.27,288.43,1.00,0.00,0.00,301.00
2021-04-28-US-MTV-1,Pixel5,1303683599430,37.3958414448,-122.1029564273,58.27,289.43,1.03,0.00,0.36,300.14
2021-04-28-US-MTV-1,Pixel5,1303683600430,37.3958389897,-122.1029507610,58.27,290.43,1.40,0.00,0.79,300.59
2021-04-28-US-MTV-1,Pixel5,1303683601430,37.3958366188,-122.1029400572,58.28,291.43,1.60,0.00,1.08,308.76
2021-04-28-US-MTV-1,Pixel5,1303683602430,37.3958327997,-122.1029267440,58.30,292.43,1.80,0.00,1.23,323.45
2021-04-28-US-MTV-1,Pixel5,1303683603430,37.3958266257,-122.1029155585,58.33,293.43,2.10,0.00,0.96,337.36
2021-04-28-US-MTV-1,Pixel5,1303683604430,37.3958214882,-122.1029094603,58.35,294.43,2.10,0.00,0.50,346.38
2021-04-28-US-MTV-1,Pixel5,1303683605430,37.3958196773,-122.1029079372,58.36,295.43,2.10,0.00,0.02,349.10
2021-04-28-US-MTV-1,Pixel5,1303683606430,37.3958197487,-122.1029081200,58.36,296.43,1.77,0.00,0.00,349.10
2021-04-28-US-MTV-1,Pixel5,1303683607430,37.3958198013,-122.1029083003,58.36,297.43,1.10,0.00,0.00,349.10
2021-04-28-US-MTV-1,Pixel5,1303683608430,37.3958206587,-122.1029092227,58.36,298.43,1.30,0.00,0.41,347.88
2021-04-28-US-MTV-1,Pixel5,1303683609430,37.3958280840,-122.1029134040,58.35,299.43,1.80,0.00,1.30,344.47
2021-04-28-US-MTV-1,Pixel5,1303683610430,37.3958421325,-122.1029168525,58.31,300.43,1.80,0.00,1.76,347.74
2021-04-28-US-MTV-1,Pixel5,1303683611430,37.3958588558,-122.1029146818,58.30,301.43,2.56,0.00,1.85,251.92
2021-04-28-US-MTV-1,Pixel5,1303683612430,37.3958763632,-122.1029046973,58.29,302.43,3.27,0.00,2.29,17.33
2021-04-28-US-MTV-1,Pixel5,1303683613430,37.3958935513,-122.1028834495,58.30,303.43,2.90,0.00,2.69,38.86
2021-04-28-US-MTV-1,Pixel5,1303683614430,37.3959061982,-122.1028549505,58.31,304.43,3.53,0.00,2.78,56.46
2021-04-28-US-MTV-1,Pixel5,1303683615430,37.3959163523,-122.1028262997,58.31,305.43,28.91,0.00,2.68,63.66
2021-04-28-US-MTV-1,Pixel5,1303683616430,37.3959265018,-122.1028001755,58.32,306.43,61.50,0.00,2.34,63.71
2021-04-28-US-MTV-1,Pixel5,1303683617430,37.3959353058,-122.1027826948,58.29,307.43,61.60,0.00,1.37,60.11
2021-04-28-US-MTV-1,Pixel5,1303683618430,37.3959413453,-122.1027724173,58.26,308.43,42.25,0.00,0.98,57.94
2021-04-28-US-MTV-1,Pixel5,1303683619430,37.3959475588,-122.1027622193,58.20,309.43,10.48,0.00,1.51,56.37
2021-04-28-US-MTV-1,Pixel5,1303683620430,37.3959555198,-122.1027435372,58.13,310.43,2.40,0.00,2.12,60.47
2021-04-28-US-MTV-1,Pixel5,1303683621430,37.3959608223,-122.1027174373,58.16,311.43,2.40,0.00,2.62,71.89
