collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675174000,37.3341516067,-121.9002579100,55.79,347.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675175000,37.3341516067,-121.9002579100,55.79,348.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675176000,37.3341516067,-121.9002579100,55.79,349.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675177000,37.3341516067,-121.9002579100,55.79,350.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675178000,37.3341516067,-121.9002579100,55.79,351.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675179000,37.3341516067,-121.9002579100,55.79,352.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675180000,37.3341516067,-121.9002579100,55.79,353.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675181000,37.3341516067,-121.9002579100,55.79,354.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675182000,37.3341516067,-121.9002579100,55.79,355.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675183000,37.3341516067,-121.9002579100,55.79,356.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675184000,37.3341516067,-121.9002579100,55.79,357.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675185000,37.3341516067,-121.9002579100,55.79,358.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675186000,37.3341516067,-121.9002579100,55.79,359.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675187000,37.3341516067,-121.9002579100,55.79,360.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675188000,37.3341516067,-121.9002579100,55.79,361.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675189000,37.3341516067,-121.9002579100,55.79,362.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675190000,37.3341516067,-121.9002579100,55.79,363.00,1.00,0.00,0.00,42.70
2021-04-28-US-SJC-1,SamsungS20Ultra,1303675191000,37.3341516067,-121.9002579100,55.79,364.00,1.00,0.00,0.00,42.70
